Player,09/09vs. NOR,09/15vs. JAX,09/22vs. LAC,09/29vs. CAR,10/06vs. ATL,10/13vs. KAN,10/20vs. IND,10/27vs. OAK,11/03vs. JAX,11/17vs. BAL,11/21vs. IND,12/01vs. NWE,12/08vs. DEN,12/15vs. TEN,12/21vs. TAM,12/29vs. TEN,01/04vs. BUF,01/12vs. KAN
Mike Adams,,,,,,,,,,,O,,,,,,,
Jahleel Addae,,,,,,,,,,,,,,,Q,Q,Q,Q
Jordan Akins,,,,,,,,,,,,,,,,,Q,Q
Angelo Blackson,,,,,,,,,,,,Q,,,,,,
Dylan Cole,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Gareon Conley,,,,,,,,,,,,Q,Q,,,,,
Keke Coutee,Q,,,,,,,,,,,,,,,,,
Keion Crossen,,,,,,,,,,,,,,,,,,Q
Duke Ejiofor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Darren Fells,,,,,,,,,,,,,,,,,,Q
Will Fuller,,,,,,,,O,O,Q,Q,,Q,Q,Q,O,Q,Q
Phillip Gaines,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tashaun Gipson,,,,,Q,,Q,Q,O,Q,Q,,,,,,IR,IR
Seantrel Henderson,,,,O,,,IR,IR,IR,IR,IR,,,,,,,
DeAndre Hopkins,,,,,,,,,,,,,,,,Q,,
Tytus Howard,Q,,,,,,O,O,Q,,,D,IR,IR,IR,IR,IR,IR
Carlos Hyde,,,,,,,,,,,,,,,Q,,,
Lonnie Johnson Jr.,,,,,Q,,,,O,,O,,,,,,,
Roderick Johnson,,,,,,,,Q,,,,,,,,,,
Taiwan Jones,,Q,Q,,,Q,,,,,,,O,Q,Q,,,
Johnathan Joseph,,,,,,Q,Q,Q,,,,,,,,,Q,Q
Senio Kelemete,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Landrum,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Greg Mancz,Q,Q,,,O,O,O,O,O,,,,,,,,,
Jacob Martin,,,,,,,,,,,,,,,O,Q,,
Benardrick McKinney,,,,,,,,,,,,,,,O,,,
Lamar Miller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Charles Omenihu,,,,Q,,,,,,,,,,,,,,
Justin Reid,,,,,,,,,,,O,,,,,,,
Bradley Roby,,,,,,,Q,Q,O,Q,Q,,Q,,,Q,Q,
Ira Savage-Lewis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brennan Scarlett,,,,,,,,,,,,Q,Q,Q,Q,,,
David Steinmetz,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kenny Stills,,,,,Q,Q,,,,,,,,,,Q,,Q
Jordan Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
Laremy Tunsil,,,Q,,,,,,Q,Q,,,,,,Q,,
Kahale Warring,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Carlos Watkins,,,,,,,,,,,,O,Q,,,,,
Deshaun Watson,,,,,,,,,,,,,,,,Q,,
J.J. Watt,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Joe Webb,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Isaac Whitney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Xavier Woodson-Luster,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,
